Rental Price,Room Type,Accommodation Facilities,Link
RM 450.00,Studio,"['Air-Conditioning', 'Washing Machine', 'Cooking Allowed', 'Share Bathroom', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'Multi-purpose hall', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8156427/edusphere-suites-studio-at-cyberjaya-selangor
RM 400.00,Single Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8211775/room-for-rent-at-vision-residence-cyberjaya-
RM 500.00,Suite,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8181855/edusphere-suites-room-for-rent
"RM 1,100.00",Studio,"['Air-Conditioning', 'Washing Machine', 'Cooking Allowed', 'Private Bathroom', 'Near LRT / MRT', 'Near MRT', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Covered car park', 'Surau']",https://www.ibilik.my/rooms/8211281/cyberjaya-edusphere-studio-for-rent
RM 500.00,Middle Room,"['Washing Machine', 'TV', 'Share Bathroom', 'Near MRT', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8150228/middle-room-at-cyberjaya-selangor
RM 850.00,Middle Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8210447/full-furnish-premium-middle-room-for-rent-near-aia-domain-dpulze-ibm-cyberjaya-city
"RM 1,500.00",Studio,"['Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Private Bathroom', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8181829/edusphere-suite-for-rent
RM 850.00,Middle Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8211222/cyberjaya-premium-middle-room-fully-furnish-for-rent-cristal-serin-residence
RM 600.00,Middle Room,"['Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market', 'Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'TV', 'Share Bathroom', 'Private Bathroom']",https://www.ibilik.my/rooms/8210549/middle-room-guy-furnished-near-cyberjaya-10min-behind-giant-and-mrt2
RM 850.00,Master Room,"['Air-Conditioning', 'Washing Machine', 'Wifi / Internet Access', 'Cooking Allowed', 'Share Bathroom', 'Private Bathroom', 'Near KTM / LRT', 'Near LRT / MRT', 'Near KTM', 'Near LRT', 'Near MRT', 'Near Train', 'Near Bus stop', '24 hours security', 'Swimming Pools', 'Gymnasium Facility', 'OKU Friendly', 'Multi-purpose hall', 'Playground', 'Covered car park', 'Surau', 'Mini Market']",https://www.ibilik.my/rooms/8210757/master-room-at-cyberjaya-selangor
